りんご,サッカー,羽生結弦,お正月,ドラえもん,ハム太郎,マリーゴールド,ライオン,スポンジ,たべっ子どうぶつ,髪,アイスランド,ターミネーター,Ｌemon,,
きゅうり,バスケットボール,マツコ・デラックス,節分,のびた,クレヨンしんちゃん,コスモス,アライグマ,たわし,ドンタコス,眉毛,メキシコ,ホームアローン,クリスマスソング,,
ぎょうざ,テニス,タモリ,成人の日,ジャイアン,サザエさん,アサガオ,イタチ,ラップ,ばかうけ,おでこ,アフガニスタン,ジュラシックパーク,前前前世,,
ひきにく,卓球,明石家さんま,ひな祭り,野原しんのすけ,ちびまる子ちゃん,ヒマワリ,犬,アルミホイル,平家パイ,こめかみ,アメリカ合衆国,プラダを着た悪魔,花束,,
ハンバーグ,水泳,松本人志,バレンタインデー,野原みさえ,妖怪ウォッチ,チューリップ,猫,食器洗剤,ぷっちょ,耳,アルジェリア,ミッションインポッシブル,キセキ,,
ぶどう,バドミントン,博多大吉,ホワイトデー,アンパンマン,プリキュア,パンジー,おおかみ,漂白剤,源氏パイ,鼻,イタリア,タイタニック,Ｐretender,,
マスカット,柔道,カズレーザー,エイプリルフール,ジャムおじさん,イナズマイレブン,ヒアシンス,いのしし,タオル,ビスコ,顔,イラク,テルマエロマエ,ＲＰＧ,,
レモン,空手,ムロツヨシ,お花見,ばいきんまん,ワンピース,イチョウ,うさぎ,石鹸,チョコボール,目,インド,カメラを止めるな！,トリセツ,,
プリン,相撲,池上彰,ゴールデンウイーク,孫悟空,ドラゴンボール,スイレン,うま,シャンプ―,ポテトチップス,口,ウガンダ,トリック,小さな恋のうた,,
栗,ゴルフ,所ジョージ,母の日,ベジータ,ナルト,タンポポ,うし,カビキラー,じゃが塩バター,のどぼとけ,ウクライナ,AIWAYS三丁目の夕日,,,
ケーキ,野球,渡辺直美,父の日,亀仙人,進撃の巨人,ツバキ,キリン,歯ブラシ,アルフォート,肩,エクアドル,ピンポン,,,
まぐろ,ソフトボール,いとうあさこ,七夕,ルパン三世,鋼の錬金術師,ケヤキ,さい　,鏡磨き,ガーナ,脇,エジプト,リング,,,
かじき,走り幅跳び,新垣結衣,夏休み,峰不二子,デスノート,ホウセンカ,鹿,歯磨き粉,チョコパイ,胸,エチオピア,シンゴジラ,,,
白菜,走り高跳び,イモトアヤコ,花火,桜木花道,エヴァンゲリオン,バオバブ,シマウマ　,かみそり,キットカット,お腹,オーストラリア,桐島、部活辞めるってよ,,,
ソーセージ,幅跳び,石原さとみ,お盆,緋村剣心,君の名は,ココヤシ,かば,綿棒,エリーゼ,へそ,オランダ,君の膵臓を食べたい,,,
スパゲッティ,高跳び,ローラ,十五夜,ルフィ,ハイキュー！！,紅葉,ぞう,化粧水,ベジップス,膝,ロシア連邦,アウトレイジ,,,
ハンバーガー,フットサル,阿部寛,シルバーウイーク,ナミ,鬼滅の刃,牡丹,狸,トイレットペーパー,マーブルチョコ,すね,カンボジア,海猿,,,
ゼリー,バレーボール,福山雅治,ハロウィン,ワンパンマン,スラムダンク,おじぎそう,きつね,靴磨き,ヨーグレット,くるぶし,ギリシャ,千と千尋の神隠し,,,
レタス,体操,小栗旬,七五三,コナン,ゲゲゲの鬼太郎,バラ,コアラ,防水スプレー,スニッカーズ,指,クロアチア,アナと雪の女王,,,
にんじん,相撲,イチロー,クリスマスイヴ,毛利蘭,はじめの一歩,ハイビスカス,とら,消臭剤,ポッキー,爪,ケニア,ハリーポッター,,,
じゃがいも,剣道,山下智久,クリスマス,ナルト,遊戯王,桜,ハリネズミ,雑巾,メルティーキッス,肘,コートジボワール,ハウルの動く城,,,
もち,１００ｍ走,関ジャニ∞,大晦日,カカシ先生,銀魂,スミレ,ゴリラ,ウェットシート,ポテロング,太もも,コンゴ,もののけ姫,,,
おでん,マラソン,TOKIO,誕生日,ゴン,ポケモン,ポピー,ひつじ,コロコロ,ハッピーターン,アキレス腱,サウジアラビア,アバター,,,
お茶漬け,レスリング,AKB48,入学式,キルア,半沢直樹,竹,ぶた,重曹,ブラックサンダー,手,サントメプリンシペ,崖の上のポニョ,,,
かつ丼,ポートボール,SMAP,卒業式,メリオダス,家政婦のミタ,,ひょう,乾電池,カラムーチョ,,シンガポール,ボヘミアンラプソディ,,,
たこ焼き,ラグビー,三代目JSOUL BROTHERS,運動会,ころせんせー,３年Ｂ組金八先生　,,もぐら,ノート,チップスター,,ジンバブエ,スターウォーズ,,,
豚汁,アメフト,加藤一二三,修学旅行,リヴァイ兵長,ＨＥＲＯ,,やぎ,万年筆,おっとっと,,スイス,美女と野獣,,,
卵,フィギュアスケート,みやぞん,春休み,ミカサアッカーマン,１０１っ回目のプロポーズ,,しろくま,マスキングテープ,プリッツ,,スウェーデン,アラジン,,,
カレーライス,スピードスケート,アキラ１００％,冬休み,ふなっしー,相棒,,猿,ティッシュ,コアラのマーチ,,スペイン,風立ちぬ,,,
グラタン,ボクシング,りゅうちぇる,オリンピック,くまもん,世にも奇妙な物語,,チンパンジー,整髪剤,ヤンヤンつけボー,,スロバキア,パイレーツオブカリビアン,,,
ムニエル,キックボクシング,藤田にこる,パラリンピック,ミッキーマウス,ＧＴＯ,,ネズミ,ゴミ箱,ドリトス,,セルビア,モンスターズインク,,,
杏仁豆腐,ムエタイ,速水もこみち,文化祭,マリオ,西遊記,,パンダ,おむつ,キャベツ太郎,,ソロモン諸島,ベイマックス,,,
トムヤムクン,アイスホッケー,わくわくさん,新婚旅行,ピーチ,水戸黄門,,カンガルー,クッキングペーパー,コロロ,,タイ,世界の中心で愛を叫ぶ,,,
チャーハン,アーチェリー,安室奈美恵,家族旅行,カービィ,,,ハムスター,角質削り,ベビースター,,大韓民国,スパイダーマン,,,
ラーメン,カヌー,星野源,遠足,トトロ,ごくせん,,アルパカ,メモ帳,かっぱえびせん,,中華人民共和国,ゴーストバスターズ,,,
ステーキ,カバディ,木村拓哉,合唱祭,ポニョ,ひとつ屋根の下,,ラクダ,筆箱,歌舞伎揚,,チェコ,アルマゲドン,,,
イカリング,ゲートボール,8.6秒バズーカー,センター試験,ウルトラマン,渡る世間は鬼ばかり,,リス,のり,うまい棒,,チュニジア,アベンジャーズ,,,
納豆,スキー,サンドウィッチマン,ライブ,ポムポムプリン,おしん,,コウモリ,スケッチブック,ルマンド,,チリ,ライオンキング,,,
コロッケ,セパタクロー,タカアンドトシ,大晦日,リラックマ,あなたの番です,,ロバ,おりがみ,カントリーマアム,,デンマーク,ワイルドスピード,,,
メロン,ドッジボール,ナイツ,夏祭り,ミニオン,勇者ヨシヒコ,,はと,クレヨン,アーモンドチョコレート,,ドイツ連邦,インクレディブルファミリー,,,
パイナップル,ハンドボール,バカリズム,結婚記念日,スティッチ,３５歳の高校生,,からす,色鉛筆,きのこの山,,トリニダードトバゴ,アイアンマン,,,
スイカ,ボウリング,陣内智則,祝勝会,シンデレラ,ドラゴン桜,,アヒル,鉛筆,チーザ,,トルコ,ジョーカー,,,
ドリアン,なわとび,エマワトソン,国際映画祭,ウッディ,花より男子,,ペリカン,下敷き,トッポ,,ナイジェリア,トイストーリー,,,
いちぢく,ダンス,ヒュージャックマン,,ジバニャン,逃げるは恥だが役に立つ,,フクロウ,マグネット,カプリコ,,ネパール,ファインディング二モ,,,
梅干し,サーフィン,トムクルーズ,,スヌーピー,ライアーゲーム,,キツツキ,クリアファイル,サッポロポテト,,パキスタン,ズートピア,,,
パッションフルーツ,水球,ジョニーデップ,,ピカチュウ,ドクターＸ,,七面鳥,消しゴム,キャラメルコーン,,パプアニューギニア,新感染,,,
スムージー,スカイダイビング,リオネルメッシ,,サトシ,踊る大捜査線,,バッタ,修正テープ,じゃがりこ,,ベルギー,リメンバーミー,,,
コーラ,チャンバラ,北野武,,エルサ,コードブルー,,くわがた,定規,パイのみ,,ポーランド,IT～それが見えたら終わり～,,,
ミルフィーユ,重量挙げ,タイガーウッズ,,オラフ,下町ロケット,,蜂,コンパス,ハーゲンダッツ,,マダガスカル,カンフーパンダ,,,